vice_royalty_baron;Chief;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_baron_female;Lady;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_count;Prefect;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_count_female;Lady;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_duke;Administrator;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_duke_female;Lady;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_king;Inspector;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_king_female;Lady;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_emperor;Duke;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_emperor_female;Lady;;;;;;;;;;;;;x;;,,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_TITLE;Grant Viceroyalty;Concéder une vice-royauté;Verleiht die Vizekönigswürde;;Conceder Virreinato;;;;;;;;;x;;,,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_DESC;Grant a Viceroyalty to the character;Concéder une vice-royauté à ce personnage;Verleiht einem Charakter die Vizekönigswürde;;Conceder la condición de virrey al personaje;;;;;;;;;x;;,,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_LONG_DESC;Grant one of your landed titles as a Viceroyalty to another character. This will significantly improve their opinion of you. When the character dies, the title will revert back to you.;Concédez l'un de vos titres fonciers en tant que vice-royauté à un autre personnage. Cela améliorera fortement son opinion à votre égard. Lorsque le personnage meurt, le titre vous revient.;Verleiht einem anderen Charakter einen Eurer Titel mit Landbesitz als Vizekönigswürde. Dies wird ihre Meinung über Euch wesentlich verbessern. Wenn der Charakter stirbt, fällt der Titel an Euch zurück.;;Conceder uno de tus títulos de tierras como virrey a otro personaje. Esto mejorará significativamente su opinión sobre ti. Cuando muera el personaje, el título volverá a ti.;;;;;;;;;x;;,,,
GRANT_VICE_ROYALTY_INTERACTION_0;Select a title to grant as a Viceroyalty to §Y[Recipient.GetTitledFirstName]§W.;Sélectionnez un titre à concéder en tant que vice-royauté à §Y[Recipient.GetTitledFirstName]§W.;Wählt einen Titel, den Ihr §Y[Recipient.GetTitledFirstName]§W als Vizekönigswürde verleiht.;;Seleccionar un título para concederlo como virreinato a §Y[Recipient.GetTitledFirstName]§W.;;;;;;;;;x;;,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_1;Grant the §Y[ThirdPartyTitle.GetFullName]§W as a Viceroyalty to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§W. When §Y[Recipient.GetTitledFirstName]§W dies, the title will revert back to you.;Concédez §Y[ThirdPartyTitle.GetFullName]§W en tant que vice-royauté à §Y[Recipient.GetTitledFirstName]§W, ce qui aura pour effet d'accroître son opinion à votre égard de §G$OPINION$§W. Quand §Y[Recipient.GetTitledFirstName]§W mourra, le titre vous reviendra.;Verleiht §Y[ThirdPartyTitle.GetFullName]§W als Vizekönigswürde an §Y[Recipient.GetTitledFirstName]§W und erhöht dadurch [Recipient.GetPossPronoun] Meinung über Euch um §G$OPINION$§W. Wenn §Y[Recipient.GetTitledFirstName]§W stirbt, fällt der Titel an Euch zurück.;;Conceder §Y[ThirdPartyTitle.GetFullName]§W como virreinato a  §Y[Recipient.GetTitledFirstName]§W, incrementando así [Recipient.GetPossPronoun] opinión sobre ti en §G$OPINION$§W. Cuando §Y[Recipient.GetTitledFirstName]§W muera, el título volverá a ti.;;;;;;;;;x;;
GRANT_VICE_ROYALTY_INTERACTION_2;The capital will change from §Y$CURRENT$§W to §Y$NEW$§W.;La capitale sera transférée de §Y$CURRENT$§W à §Y$NEW$§W.;Die Hauptstadt wird von §Y$CURRENT$§W nach §Y$NEW$§W verlegt.;;La capital pasará de ser §Y$CURRENT$§W a §Y$NEW$§W.;;;;;;;;;x;;,,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_3;Vassals going with the grant: ;Vassaux inclus avec le titre : ;Vasallen, die zur Bewilligung gehören:;;Vasallos incluidos en la concesión:;;;;;;;;;x;;,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_4;[Player.Religion.GetPietyName] from temple grant: §G$PIETY$§!.;[Player.Religion.GetPietyName] de concession de temple : §G$PIETY$§!.;[Player.Religion.GetPietyName] von Tempelbewilligung: §G$PIETY$§!.;;[Player.Religion.GetPietyName] de concesión de templo: §G$PIETY$§!.;;;;;;;;;x;;,,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_5;§RMaking [Recipient.GetObjectPronoun] a $TITLE$ will disqualify [Recipient.GetObjectPronoun] from the succession!§!;§R[Recipient.GetObjectPronoun] accorder un titre de $TITLE$ l’évincera de la succession !§!;§RDie Erhebung von [Recipient.GetObjectPronoun] zum $TITLE$ schließt [Recipient.GetObjectPronoun] von der Erbfolge aus!§!;;§R¡Concediendo a [Recipient.GetObjectPronoun] un título de $TITLE$, lo dejarás fuera de la sucesión!§!;;;;;;;;;x;;,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_ACCEPT_SETUP;Viceroyalty Granted;Vice-royauté concédée;Vizekönigswürde verliehen;;Virreinato Concedido;;;;;;;;;x;;,,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§W granted the [ThirdPartyTitle.GetFullName] to §Y[Recipient.GetBestName]§W;§Y[Actor.GetBestName]§W a accordé le titre de [ThirdPartyTitle.GetFullName] à §Y[Recipient.GetBestName]§W.;§Y[Actor.GetBestName]§W verlieh [ThirdPartyTitle.GetFullName] an §Y[Recipient.GetBestName]§W;;§Y[Actor.GetBestName]§W ha concedido el título de [ThirdPartyTitle.GetFullName] a §Y[Recipient.GetBestName]§W.;;;;;;;;;x;;,,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_LETTER;We offer you the Viceroyalty of [ThirdPartyTitle.GetFullName];Nous vous offrons la vice-royauté de [ThirdPartyTitle.GetFullName].;Wir bieten Euch die Vizekönigswürde von [ThirdPartyTitle.GetFullName] an;;Te ofrecemos el virreinato de [ThirdPartyTitle.GetFullName];;;;;;;;;x;;,,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_6;Grant the §Y[ThirdPartyTitle.GetFullName]§W as a Viceroyalty and all titles under it to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§W. When §Y[Recipient.GetTitledFirstName]§W dies, the title will revert back to you.;Accordez §Y[ThirdPartyTitle.GetFullName]§W en tant que vice-royauté ainsi que tous les titres qui lui sont inhérents à §Y[Recipient.GetTitledFirstName]§W, augmente [Recipient.GetPossPronoun] opinion à votre égard de §G$OPINION$§W. Lorsque §Y[Recipient.GetTitledFirstName]§W mourra, le titre vous reviendra.;Verleiht §Y[ThirdPartyTitle.GetFullName]§W als Vizekönigswürde und alle dazu gehörenden Titel an §Y[Recipient.GetTitledFirstName]§W und erhöht dadurch [Recipient.GetPossPronoun] Meinung über Euch um §G$OPINION$§W. Wenn §Y[Recipient.GetTitledFirstName]§W stirbt, fällt der Titel an Euch zurück. ;;Conceder el §Y[ThirdPartyTitle.GetFullName]§W como virreinato y todos los títulos que abarca a §Y[Recipient.GetTitledFirstName]§W, incrementando así [Recipient.GetPossPronoun] opinión sobre ti §G$OPINION$§W. Cuando §Y[Recipient.GetTitledFirstName]§W muera, el título volverá a ti.;;;;;;;;;x;;
GRANT_VICE_ROYALTY_INTERACTION_7;Decadence lost from grant to dynasty member: §G$DECADENCE$%§! (the effect is relative to the dynasty's current Decadence.);Décadence perdue due aux terres accordées aux membres de ma dynastie : §G$DECADENCE$%§! (l'effet est relatif à la décadence actuelle de la dynastie);Dekadenzverlust durch Bewilligung an Dynastiemitglied: §G$DECADENCE$%§! (die Auswirkung hängt vom aktuellen Dekadenzgrad der Dynastie ab.);;Pérdida de Decadencia por conceder un título a un familiar: §G$DECADENCE$%§! (el efecto es relativo a la Decadencia actual de la dinastía);;;;;;;;;x;;,,,,,,,
opinion_granted_barony_vice_royalty;Granted a District;;;;;;;;;;;;;x;;,,,,,,,
opinion_granted_county_vice_royalty;Granted a County;;;;;;;;;;;;;x;;,,,,,,,
opinion_granted_duchy_vice_royalty;Granted a Commandery;;;;;;;;;;;;;x;;,,,,,,,
opinion_granted_kingdom_vice_royalty;Granted a Province;;;;;;;;;;;;;x;;,,,,,,,
opinion_granted_empire_vice_royalty;Granted a Kingdom;;;;;;;;;;;;;x;;,,,,,,,
INTERACTION_REQUIRES_TIER_TITLE;[Actor.GetTitledFirstName] must have a $TIER$ title which [Recipient.GetTitledFirstName] can hold;[Actor.GetTitledFirstName] doit avoir un titre $TIER$ pouvant être détenu par [Recipient.GetTitledFirstName];[Actor.GetTitledFirstName] muss einen $TIER$-Titel haben, den [Recipient.GetTitledFirstName] tragen kann;;[Actor.GetTitledFirstName] debe tener un título $TIER$ que [Recipient.GetTitledFirstName] pueda mantener;;;;;;;;;x;;,,,,,,
vice_royalty_barony_of;District of;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_county_of;County of;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_duchy_of;Commandery of;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_kingdom_of;Province of;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_empire_of;Kingdom of;;;;;;;;;;;;;x;;,,,,,,,
IS_VICE_ROYALTY;Is a Viceroyalty;Est une vice-royauté;Ist ein Vizekönigreich;;Es un Virreinato;;;;;;;;;x;;,,,,,,,
ISNT_VICE_ROYALTY;Is not a Viceroyalty;N'est pas une vice-royauté;Ist kein Vizekönigreich;;No es un Virreinato;;;;;;;;;x;;,,,,,,,
vice_royalty_0;No Viceroyalties;Pas de vice-royautés;Keine Vizekönigreiche;;No Virreinatos;;;;;;;;;x;;,,,,,,,
vice_royalty_0_option;None;Aucune;Keine;;Ninguno;;;;;;;;;x;;,,,,,,,
vice_royalty_0_desc;Disables Viceroyalties.;Désactive l'utilisation des vice-royautés.;Deaktiviert jeden Gebrauch von Vizekönigswürden;;Inhabilita cualquier uso de virreinatos.;;;;;;;;;x;;,,,,,,,
vice_royalty_1;Provinces;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_1_option;Provincial Assignments;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_1_desc;Enables Province Assignment;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_2;Commanderies;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_2_option;Commandery Assignments;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_2_desc;Enables Commandery Assignment;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_3;Counties;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_3_option;County Assignments;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_3_desc;Enables County Assignment;;;;;;;;;;;;;x;;,,,,,,,
no_vice_royalties;No Viceroyalties;Pas de vice-royautés;Keine Vizekönigreiche;;No Virreinatos;;;;;;;;;x;;,,,,,,,
emperor_vice_royalties;Allows Empire Viceroyalties;Autorise les vice-royautés empire;Ermöglicht Kaiserreich-Vizekönigreiche;;Permite Virreinatos en el Imperio;;;;;;;;;x;;,,,,,,,
king_vice_royalties;Allows Kingdom Viceroyalties;Autorise les vice-royautés royaume;Ermöglicht Königreich-Vizekönigswürden;;Permite Virreinatos en el Reino;;;;;;;;;x;;,,,,,,,
#duke_vice_royalties;Allows Duchy Viceroyalties;Autorise les vice-royautés duché;Ermöglicht Herzogtum-Vizekönigswürden;;Permite Virreinatos en el Ducado;;;;;;;;;x;;,,,,,,,
count_vice_royalties;Allows County Viceroyalties;Autorise les vice-royautés comté;Ermöglicht Grafschaft-Vizekönigswürden;;Permite Virreinatos en el Condado;;;;;;;;;x;;,,,,,,,
baron_vice_royalties;Allows Barony Viceroyalties;Autorise les vice-royautés baronnie;Ermöglicht Baronie-Vizekönigswürden;;Permite Virreinatos en la Baronía;;;;;;;;;x;;,,,,,,,
vice_royalty;Viceroyalty;Vice-royauté;Vizekönigswürde;;Virreinato;;;;;;;;;x;;,,,,,,,
vice_royalty_desc;Emperors can grant kingdoms or duchies to vassals as Viceroyalties. Such grants are not inherited and will revert back to the emperor when the Viceroy dies - a handy way of staying below your Vassal Limit.;Les empereurs peuvent donner des royaumes ou des duchés à leurs vassaux en tant que vice-royautés. Ces dons ne sont pas héréditaires et retournent à l'empereur à la mort du vice-roi. Une manière bien commode de ne pas dépasser votre limite de vassaux.;Kaiser können Vasallen mit Königreichen oder Herzogtümer belehnen, die dann als Vizekönigreiche gelten. Diese Lehen werden nicht vererbt, sondern fallen an den Kaiser zurück, wenn der Vizekönig stirbt. So ist es leichter, unter dem Vasallenlimit zu bleiben.;;Los emperadores pueden conceder reinos o ducados a los vasallos como Virreinatos. Otorgamientos como éste no se heredan y volverán al emperador cuando muera el virrey -una manera práctica de permanecer por debajo de tu Límite de Vasallos.;;;;;;;;;x,,,
